timestamp,year,month,region,application,metric,value
2022-10-19 03:29:00,2022,10,Karnataka,WebApp,response_time,135.15
2022-10-23 10:58:00,2022,10,Karnataka,Analytics,cpu_usage,232.73
2022-10-30 07:03:00,2022,10,Karnataka,Payment,memory_usage,332.51
2022-10-08 15:42:00,2022,10,Karnataka,API,request_count,706.73
2022-10-23 13:14:00,2022,10,Karnataka,MobileApp,request_count,723.63
2022-10-22 07:35:00,2022,10,Karnataka,Analytics,cpu_usage,169.02
2022-10-17 08:19:00,2022,10,Karnataka,Payment,memory_usage,649.39
2022-10-31 11:48:00,2022,10,Karnataka,WebApp,memory_usage,227.33
2022-10-29 05:47:00,2022,10,Karnataka,Analytics,cpu_usage,612.76
2022-10-24 23:39:00,2022,10,Karnataka,API,response_time,336.41
2022-10-03 22:59:00,2022,10,Karnataka,MobileApp,cpu_usage,815.98
2022-10-25 09:56:00,2022,10,Karnataka,Analytics,memory_usage,349.9
2022-10-10 09:53:00,2022,10,Karnataka,MobileApp,request_count,519.43
2022-10-28 23:42:00,2022,10,Karnataka,Payment,memory_usage,930.53
2022-10-22 05:23:00,2022,10,Karnataka,Payment,response_time,485.5
2022-10-23 08:05:00,2022,10,Karnataka,API,error_count,677.22
2022-10-02 09:33:00,2022,10,Karnataka,Analytics,error_count,84.0
2022-10-08 00:51:00,2022,10,Karnataka,Payment,response_time,848.92
2022-10-10 04:23:00,2022,10,Karnataka,Analytics,error_count,851.2
2022-10-01 13:43:00,2022,10,Karnataka,Analytics,error_count,756.03
2022-10-09 17:37:00,2022,10,Karnataka,MobileApp,request_count,890.76
2022-10-11 23:03:00,2022,10,Karnataka,MobileApp,request_count,149.92
2022-10-22 18:42:00,2022,10,Karnataka,MobileApp,request_count,90.81
2022-10-20 17:45:00,2022,10,Karnataka,API,cpu_usage,571.88
2022-10-23 05:33:00,2022,10,Karnataka,API,memory_usage,337.23
2022-10-04 01:52:00,2022,10,Karnataka,MobileApp,error_count,266.3
2022-10-24 00:02:00,2022,10,Karnataka,API,response_time,697.67
2022-10-21 09:21:00,2022,10,Karnataka,API,response_time,706.73
2022-10-12 23:16:00,2022,10,Karnataka,MobileApp,request_count,104.79
2022-10-28 19:01:00,2022,10,Karnataka,MobileApp,response_time,597.86
2022-10-09 00:43:00,2022,10,Karnataka,MobileApp,request_count,484.26
2022-10-31 05:31:00,2022,10,Karnataka,Analytics,cpu_usage,524.09
2022-10-31 23:34:00,2022,10,Karnataka,WebApp,request_count,600.12
2022-10-03 10:39:00,2022,10,Karnataka,Payment,request_count,600.48
2022-10-08 15:17:00,2022,10,Karnataka,API,error_count,978.61
2022-10-09 06:05:00,2022,10,Karnataka,Payment,request_count,844.0
2022-10-01 12:32:00,2022,10,Karnataka,API,request_count,618.32
2022-10-29 23:33:00,2022,10,Karnataka,Analytics,memory_usage,736.78
2022-10-06 20:07:00,2022,10,Karnataka,WebApp,response_time,731.81
2022-10-31 00:07:00,2022,10,Karnataka,WebApp,request_count,589.62
2022-10-02 07:02:00,2022,10,Karnataka,API,memory_usage,210.45
2022-10-13 09:53:00,2022,10,Karnataka,WebApp,cpu_usage,36.92
2022-10-29 02:23:00,2022,10,Karnataka,WebApp,response_time,284.11
2022-10-17 15:36:00,2022,10,Karnataka,API,request_count,215.44
2022-10-08 08:06:00,2022,10,Karnataka,API,error_count,625.92
2022-10-22 21:12:00,2022,10,Karnataka,Analytics,response_time,643.34
2022-10-07 16:24:00,2022,10,Karnataka,WebApp,error_count,785.93
2022-10-26 01:56:00,2022,10,Karnataka,API,cpu_usage,758.69
2022-10-13 13:46:00,2022,10,Karnataka,API,cpu_usage,129.0
2022-10-21 06:37:00,2022,10,Karnataka,WebApp,response_time,760.87
2022-10-12 06:39:00,2022,10,Karnataka,API,request_count,596.8
2022-10-03 12:41:00,2022,10,Karnataka,Analytics,response_time,123.7
2022-10-12 02:25:00,2022,10,Karnataka,WebApp,cpu_usage,683.13
2022-10-22 05:18:00,2022,10,Karnataka,Analytics,memory_usage,16.37
2022-10-25 09:14:00,2022,10,Karnataka,API,memory_usage,206.64
2022-10-01 03:14:00,2022,10,Karnataka,Analytics,cpu_usage,509.23
2022-10-19 18:35:00,2022,10,Karnataka,Analytics,memory_usage,746.21
2022-10-16 07:02:00,2022,10,Karnataka,Payment,memory_usage,831.64
2022-10-31 17:24:00,2022,10,Karnataka,Analytics,response_time,98.7
2022-10-16 06:32:00,2022,10,Karnataka,API,error_count,939.76
2022-10-26 01:53:00,2022,10,Karnataka,MobileApp,request_count,55.72
2022-10-28 00:49:00,2022,10,Karnataka,WebApp,error_count,309.65
2022-10-15 18:39:00,2022,10,Karnataka,Payment,cpu_usage,341.11
2022-10-07 19:56:00,2022,10,Karnataka,WebApp,error_count,980.46
2022-10-06 18:16:00,2022,10,Karnataka,API,memory_usage,587.46
2022-10-08 12:17:00,2022,10,Karnataka,Analytics,request_count,337.46
2022-10-07 16:02:00,2022,10,Karnataka,WebApp,error_count,697.67
2022-10-30 12:47:00,2022,10,Karnataka,MobileApp,memory_usage,994.8
2022-10-30 02:22:00,2022,10,Karnataka,MobileApp,response_time,770.19
2022-10-05 06:38:00,2022,10,Karnataka,Payment,memory_usage,423.18
2022-10-29 18:58:00,2022,10,Karnataka,Analytics,memory_usage,73.47
2022-10-23 10:27:00,2022,10,Karnataka,API,cpu_usage,669.36
2022-10-13 10:18:00,2022,10,Karnataka,MobileApp,response_time,333.13
2022-10-24 10:22:00,2022,10,Karnataka,Analytics,error_count,165.37
2022-10-18 11:14:00,2022,10,Karnataka,Analytics,memory_usage,664.6
2022-10-25 21:44:00,2022,10,Karnataka,API,memory_usage,405.81
2022-10-25 13:21:00,2022,10,Karnataka,WebApp,response_time,753.72
2022-10-24 09:57:00,2022,10,Karnataka,Analytics,request_count,959.42
2022-10-31 04:25:00,2022,10,Karnataka,Analytics,cpu_usage,277.57
2022-10-26 03:20:00,2022,10,Karnataka,Payment,request_count,900.49
2022-10-15 00:00:00,2022,10,Karnataka,Payment,memory_usage,530.48
2022-10-07 14:13:00,2022,10,Karnataka,WebApp,request_count,737.52
2022-10-23 02:17:00,2022,10,Karnataka,Payment,cpu_usage,732.33
2022-10-13 18:15:00,2022,10,Karnataka,Payment,memory_usage,77.78
2022-10-18 23:27:00,2022,10,Karnataka,API,cpu_usage,585.78
